municipio,ingreso_sep,irregularidad_total_sep,irregularidad_relativa_sep,n_habitantes,gasto_municipal_m,gasto_per_capita_m,idse,n_concejo,n_mujeres_concejo,prop_mujeres_concejo,genero_alcaldia,transparencia_activa,nivel_ruralidad
arica,2475427055,33297583,0.01345125,221364,20738226,93.68382393,0.643,8,4,0.5,1,0.7657,urbana
camarones,18419759,3352399,0.18200016,1255,1086545,865.7729084,,6,1,0.1666666667,1,0.0516,rural
tocopilla,637153701,32368657,0.05080196,25186,2545702,101.076074,0.664,6,2,0.3333333333,1,0.3024,urbana
copiapo,3166689436,188697146,0.05958814,153937,17908757,116.3382228,0.671,6,1,0.1666666667,1,0.4686,urbana
caldera,500915677,5115000,0.01021130,17662,3768989,213.3953686,0.643,6,4,0.6666666667,0,0.7425,rural
vallenar,1493826447,79898620,0.05348588,51917,6712056,129.2843577,0.595,6,0,0,1,0.2634,urbana
coquimbo,1629557380,653212493,0.40085271,227730,25209692,110.6999166,0.657,8,2,0.25,1,0.4409,urbana
illapel,595946377,121154758,0.20329809,30848,4252338,137.8480939,0.575,6,2,0.3333333333,1,0.212,urbana
monte patria,911493828,228576303,0.25077109,30751,3234329,105.1780105,0.46,6,2,0.3333333333,1,0.1057,urbana
ovalle,2191505006,0,0.00000000,111272,11402010,102.4697139,0.519,6,1,0.1666666667,0,0.6613,urbana
los andes,636994941,174417585,0.27381314,66708,8382541,125.6602057,0.519,6,2,0.3333333333,1,0.2928,urbana
san antonio,938910100,446942795,0.47602299,91350,11211536,122.7316475,0.568,6,0,0,1,0.5448,urbana
san felipe,1095593155,16653301,0.01520026,76844,7143960,92.96705013,0.615,6,0,0,1,0.3947,urbana
la ligua,681132447,11416171,0.01676057,35390,4074657,115.1358293,0.537,6,3,0.5,1,0.1318,urbana
quillota,1015540128,143342121,0.14114865,90517,9589300,105.9392158,0.64,6,1,0.1666666667,1,0.2256,urbana
putaendo,214352779,61669285,0.28769996,16754,2171410,129.6054674,0.543,6,2,0.3333333333,1,0.1612,rural
limache,394045926,136897276,0.34741452,46121,3849540,83.46610004,0.573,6,1,0.1666666667,1,0.593,urbana
santiago,1650528356,22965521,0.01391404,404495,105226512,260.1429239,0.833,8,3,0.375,1,0.6905,urbana
estacion central,1077581169,56167700,0.05212387,147041,17401354,118.3435504,0.686,8,2,0.25,1,0.222,urbana
la granja,1619257893,-19245735,-0.01188553,116571,10734850,92.08851258,0.592,6,1,0.1666666667,1,0.3252,urbana
la pintana,1465472863,0,0.00000000,177335,13232603,74.61924042,0.561,6,2,0.3333333333,1,0.8138,urbana
san ramon,954715925,44130659,0.04622386,82900,7576351,91.39144753,0.575,6,2,0.3333333333,1,0.3721,urbana
curacavi,348252157,2099758,0.00602942,32579,3536796,108.5606065,0.621,6,0,0,1,0.3236,urbana
quinta normal,70601411,8163997,0.11563504,110026,15388253,139.8601512,0.677,6,2,0.3333333333,1,0.3101,urbana
graneros,478792022,63136380,0.13186598,33437,2941404,87.96853785,0.586,6,2,0.3333333333,1,0.4781,urbana
malloa,389349999,4036001,0.01036600,13407,2368748,176.6799433,0.543,6,0,0,1,0.1515,rural
mostazal,426891249,10804916,0.02531070,25343,5560371,219.4046088,0.574,6,1,0.1666666667,1,0.1445,urbana
rengo,1191916908,0,0.00000000,58825,6022881,102.3864173,0.606,6,1,0.1666666667,1,0.1641,urbana
chepica,383574250,242457997,0.63210186,15037,2220988,147.7015362,0.475,6,0,0,0,0.2674,rural
chimbarongo,589533364,14828974,0.02515375,35399,3024948,85.4529224,0.511,6,0,0,1,0.5638,urbana
santa cruz,542060306,0,0.00000000,37855,6433179,169.9426496,0.574,6,3,0.5,1,0.5305,urbana
talca,3278467904,0,0.00000000,220357,20731228,94.08018806,0.624,8,1,0.125,1,0.1559,urbana
san clemente,2321109420,273513896,0.11783757,43269,4393211,101.5325291,0.407,6,1,0.1666666667,1,0.3867,urbana
linares,1915050734,9205782,0.00480707,93602,8188000,87.47676332,0.514,6,1,0.1666666667,1,0.2354,urbana
maule,854720390,2491356,0.00291482,49721,2679194,53.88455582,0.467,6,0,0,1,0.305,urbana
cauquenes,1097443646,32116862,0.02926516,40441,4391686,108.5948913,0.461,6,1,0.1666666667,1,0.0904,urbana
curico,1718453136,8907970,0.00518371,149136,12609821,84.55249571,0.639,6,0,0,1,0.3662,urbana
molina,958339224,228970430,0.23892420,45976,5006718,108.8985123,0.535,6,3,0.5,0,0.3955,urbana
teno,630329841,3321698,0.00526978,28921,2837230,98.1027627,0.483,6,2,0.3333333333,0,0.635,urbana
longavi,787954427,119367351,0.15149017,30534,2780512,91.06281522,0.471,6,1,0.1666666667,1,0.5477,urbana
san carlos,1221111650,0,0.00000000,53024,4799144,90.50890163,0.51,6,1,0.1666666667,1,0.3727,urbana
coronel,1738386891,116071290,0.06676954,116262,12078911,103.8938862,0.547,6,1,0.1666666667,1,0.34,urbana
chillan,2400383461,7410091,0.00308704,184739,16026988,86.75476212,0.625,8,1,0.125,1,0.3471,urbana
talcahuano,2127489837,0,0.00000000,151749,19781546,130.3570106,0.647,6,2,0.3333333333,1,0.0698,urbana
los angeles,2715122189,36832891,0.01356583,202331,17995315,88.93997954,0.58,8,2,0.25,1,0.3683,urbana
quilaco,116127455,0,0.00000000,3988,1235249,309.7414744,0.414,6,0,0,1,0.2496,rural
treguaco,143209016,0,0.00000000,5401,1127731,208.8004073,0.407,6,0,0,1,0.1711,rural
cobquecura,153180021,0,0.00000000,5012,1594003,318.0373105,0.378,6,1,0.1666666667,1,0.0481,rural
quilleco,305012338,3957345,0.01297438,9587,1446899,150.9230208,0.413,6,1,0.1666666667,1,0,rural
niquen,493174960,10364462,0.02101579,11152,1596625,143.1693867,0.436,6,2,0.3333333333,1,0.1582,rural
santa barbara,414265238,0,0.00000000,13773,1971476,143.1406375,0.472,6,1,0.1666666667,1,0.3365,rural
los alamos,739631584,0,0.00000000,21035,2160952,102.7312574,0.374,6,0,0,1,0.0503,urbana
concepcion,1701132835,0,0.00000000,223574,24688250,110.4254072,0.675,8,1,0.125,0,0.2577,urbana
san pedro de la paz,1369743378,204708107,0.14944997,131808,9922764,75.28195557,0.671,6,1,0.1666666667,1,0.5182,urbana
collipulli,749335199,32442910,0.04329559,24598,2688872,109.312627,0.41,6,4,0.6666666667,1,0.1696,urbana
carahue,494551814,36383717,0.07356907,24533,3383255,137.9062895,0.342,6,0,0,1,0.3024,urbana
lautaro,649574185,0,0.00000000,38013,4219883,111.011575,0.405,6,0,0,1,0.1867,urbana
victoria,537154535,2135939,0.00397640,34182,3571142,104.4743432,0.493,6,2,0.3333333333,1,0.473,urbana
freire,247767734,0,0.00000000,24606,3155019,128.2215313,0.324,6,1,0.1666666667,1,0.1765,urbana
villarica,468464660,310350775,0.66248492,55478,5221307,94.11491041,0.521,6,2,0.3333333333,1,0.1423,urbana
angol,889172077,46463009,0.05225424,53262,6121702,114.9356389,0.539,6,3,0.5,1,0.1151,urbana
temuco,2207262573,972371562,0.44053280,282415,24732242,87.57410902,0.657,8,2,0.25,1,0.4023,urbana
vilcun,370296767,1453100,0.00392415,28151,3114910,110.6500657,0.426,6,2,0.3333333333,1,0.3023,urbana
padre las casas,346923110,0,0.00000000,76126,6135648,80.59858655,0.432,6,1,0.1666666667,1,0.5617,urbana
puerto montt,3734901468,4620000,0.00123698,245902,20709225,84.21739148,0.619,8,1,0.125,1,0.6749,urbana
calbuco,922449407,3596164,0.00389849,33985,2980890,87.71193173,0.474,6,2,0.3333333333,1,0.3286,urbana
osorno,1910867446,173696907,0.09089951,161460,15059375,93.27000495,0.605,8,1,0.125,1,0.4362,urbana
llanquihue,412467817,539599,0.00130822,17591,2003602,113.8992667,0.612,6,1,0.1666666667,1,0.382,rural
puerto varas,724496121,0,0.00000000,44578,5346556,119.937099,0.619,6,0,0,1,0.4969,urbana
aysen,426492826,0,0.00000000,23959,3453781,144.1538044,0.613,6,2,0.3333333333,0,0.377,urbana
cisnes,166454955,27983984,0.16811746,6517,1711730,262.6561301,0.622,6,2,0.3333333333,1,0.1195,rural
coyhaique,691191128,225101456,0.32567180,57818,6758726,116.896572,0.664,6,2,0.3333333333,1,0.4086,urbana
porvenir,76004744,8172627,0.10752785,6801,1498584,220.3475959,0.726,6,0,0,1,0.2018,rural
cabo de hornos,39999545,11603075,0.29008017,2063,1278097,619.5332041,0.781,6,2,0.3333333333,1,0.1326,rural
rio bueno,543062059,7250629,0.01335138,31372,3316098,105.7024735,0.51,6,1,0.1666666667,1,0.1152,urbana
la union,879404579,1840000,0.00209232,38036,3378886,88.83389421,0.499,6,0,0,0,0.7613,urbana
valdivia,2086052527,93084657,0.04462239,166080,15733210,94.73271917,0.652,8,1,0.125,1,0.3812,urbana